time,frequency_mhz,width_khz,peak,diff
20170311_003936,89.592499,81.000000,-73.341141,3.761307
20170311_003937,90.990501,29.000000,-70.984108,6.829597
20170311_003943,94.278999,46.000000,-75.214622,3.413963
20170311_003944,94.657501,49.000000,-74.428680,3.701530
20170311_003945,95.029503,51.000000,-74.620560,3.513924
20170311_003946,95.402000,50.000000,-75.128593,3.384346
20170311_003946,95.781998,42.000000,-71.566017,5.370979
20170311_003954,99.468002,72.000000,-73.413635,3.640518
20170311_003956,100.691498,31.000000,-65.786385,10.442039
20170311_003957,101.191498,61.000000,-75.614265,3.383423
20170311_004002,103.386002,34.000000,-69.813774,7.800888
20170311_204007,105.602997,106.000000,-35.000179,7.375736
20170311_204025,100.692497,83.000000,-32.025005,10.054111
20170311_204038,89.556000,70.000000,-38.781090,3.394508
20170311_204038,89.630997,74.000000,-39.142384,3.018177
20170311_204039,90.977501,103.000000,-33.025272,8.886860
20170311_204040,91.491997,48.000000,-40.615440,4.306618
20170311_204048,95.793503,75.000000,-37.513577,6.352474
20170311_204056,99.469002,84.000000,-38.910725,4.469543
20170311_204058,100.693497,83.000000,-32.109737,10.208649
20170311_204059,101.194000,48.000000,-41.278221,3.764442
20170311_204104,103.386497,55.000000,-37.960030,6.682514
20170311_204105,103.883499,45.000000,-41.579086,3.319092
20170311_204108,105.601501,97.000000,-37.251640,5.956165
